因子,RMSE,MAE,R2
cod,0.08083660580521108,0.06452684520851247,-0.8819913856486665
tn,0.1890927363095597,0.13521205436525535,-2.4994600683672044
nh,0.11530464613805341,0.05975042245721438,-0.36168611760593583
tp,0.10445466199845653,0.08212234130795783,0.47215186285573907
ph,0.11739912239014708,0.08671377261346798,-0.7416797519555776
